Header,Series Name,Episodes,Episode Link,Year,State
RECOMMEND,Hometown Cha-Cha-Cha,16 Episodes,https://www.gohitv.com/series/-hometown-cha-cha-cha,2021,"2021, Romance, Drama"
RECOMMEND,Touch Your Heart,16 Episodes,https://www.gohitv.com/series/touch-your-heart,2019,"2019, Romance, Drama, Comedy"
RECOMMEND,Reply 1988,20 Episodes,https://www.gohitv.com/series/reply-1988,2015,"2015, Drama, Comedy, Family"
RECOMMEND,What's Wrong With Secretary Kim,16 Episodes,https://www.gohitv.com/series/what's-wrong-with-secretary-kim,2018,"2018, Romance, Comedy"
RECOMMEND,Goblin,16 Episodes,https://www.gohitv.com/series/goblin,2016,"2016, Romance, Fantasy, Drama"
RECOMMEND,Hospital Playlist S02,12 Episodes,https://www.gohitv.com/series/hospital-playlist-s02,2021,"2021, Drama"
RECOMMEND,Hospital Playlist S01,12 Episodes,https://www.gohitv.com/series/hospital-playlist-s01,2020,"2020, Drama"
RECOMMEND,Signal,16 Episodes,https://www.gohitv.com/series/signal,2016,"2016, Fantasy, Drama, Crime, Mystery"
UPDATING,Love is for Suckers,16 Episodes,https://www.gohitv.com/series/love-is-for-suckers,2022,"2022, Romance"
UPDATING,The Queen's Umbrella,16 Episodes,https://www.gohitv.com/series/the-queen's-umbrella,2022,"2022, Comedy, Costume"
UPDATING,New Love Playlist,13 Episodes,https://www.gohitv.com/series/new-love-playlist,2022,"2022, Web drama"
UPDATING,Summer Strike,12 Episodes,https://www.gohitv.com/series/summer-strike,2022,"2022, Romance, Drama"
THE LATEST,Arthdal Chronicles: The Sword of Aramoon,12 Episodes,https://www.gohitv.com/series/arthdal-chronicles:-the-sword-of-aramoon,2023,"2023, Fantasy, Drama, History"
THE LATEST,Delightfully Deceitful,16 Episodes,https://www.gohitv.com/series/delightfully-deceitful,2023,"2023, Mystery"
THE LATEST,Longing for You,14 Episodes,https://www.gohitv.com/series/longing-for-you,2023,"2023, Mystery, Crime"
THE LATEST,Not Others,12 Episodes,https://www.gohitv.com/series/not-others,2023,"2023, Drama"
THE LATEST,All That We Loved,8 Episodes,https://www.gohitv.com/series/all-that-we-loved,2023,"2023, Romance"
THE LATEST,Crash Course in Romance,16 Episodes,https://www.gohitv.com/series/crash-course-in-romance,2023,"2023, Romance, Comedy"
THE LATEST,Stealer: The Treasure Keeper,12 Episodes,https://www.gohitv.com/series/stealer:-the-treasure-keeper,2023,"2023, Comedy, Action"
THE LATEST,Queen of the Mask,16 Episodes,https://www.gohitv.com/series/queen-of-the-mask,2023,"2023, Drama"
UPCOMING,Man Suang,,https://www.gohitv.com/series/man-suang,2023,"2023, Drama, Mystery, Thriller, History"
